WELL NAME,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
15/9-19 A,3688.2324,0.100273,0.0,0.0,0.0,0.210765,0.8,2.66,0.02156,0.0,0.4758,113.2405,0.70602,CLST.SLTY-X-X
15/9-19 A,3688.3848,0.099471,0.0,0.0,0.0,0.20861100000000002,0.8,2.66,0.021559400000000003,0.0,0.4768,113.2441,0.706775,OTHER
15/9-19 A,3688.5372,0.099553,0.0,0.0,0.0,0.214493,0.8,2.66,0.0215588,0.0,0.4641,113.2477,0.70753,OTHER
15/9-19 A,3688.6896,0.097448,0.0,0.0,0.0,0.201664,0.8,2.66,0.0215582,0.0,0.4832,113.2513,0.708285,OTHER
15/9-19 A,3688.842,0.102337,0.0,0.0,0.0,0.242848,0.8,2.66,0.0215577,0.0,0.4214,113.2549,0.70904,OTHER
15/9-19 A,3688.9944,0.096312,0.0,0.0,0.0,0.193743,0.8,2.66,0.0215571,0.0,0.4971,113.2586,0.709795,OTHER
15/9-19 A,3689.1468,0.097964,0.0,0.0,0.0,0.206936,0.8,2.66,0.0215565,0.0,0.4734,113.2622,0.71055,OTHER
15/9-19 A,3689.2992,0.09552600000000004,0.0,0.0,0.0,0.189853,0.8,2.66,0.021555900000000003,0.0,0.5032,113.2658,0.711306,OTHER
15/9-19 A,3689.4516,0.09171,0.0,0.0,0.0,0.164616,0.8,2.66,0.0215553,0.0,0.5571,113.2694,0.7120609999999999,OTHER
15/9-19 A,3689.6040000000003,0.094378,0.0,0.0,0.0,0.18433,0.8,2.66,0.0215548,0.0,0.512,113.273,0.712816,OTHER
15/9-19 A,3689.7564,0.096312,0.0,0.0,0.0,0.199939,0.8,2.66,0.0215542,0.0,0.4817,113.2767,0.713571,OTHER
15/9-19 A,3689.9088,0.097209,0.0,0.0,0.0,0.208033,0.8,2.66,0.021553599999999996,0.0,0.4673,113.2803,0.714326,OTHER
15/9-19 A,3690.0612,0.099021,0.0,0.0,0.0,0.225737,0.8,2.66,0.021553,0.0,0.4387,113.2839,0.7150810000000001,OTHER
