BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
0.056665,0,0,202.3596,0.251098,0.8,2.63,0.0209936,1,0.2269,116.8757,0.189184,F-MOUTHBAR
0.053965,0,0,209.8801,0.238519,0.8,2.63,0.020993,1,0.2277,116.8792,0.176243,F-MOUTHBAR
0.052738,0,0,134.4648,0.238236,0.8,2.63,0.0209925,1,0.2228,116.8828,0.197476,F-MOUTHBAR
0.05303,0,0,216.2134,0.258264,0.8,2.63,0.0209919,1,0.2067,116.8864,0.192359,F-MOUTHBAR
0.050557,0,0,120.049,0.238841,0.8,2.63,0.0209914,1,0.2132,116.89,0.203485,F-MOUTHBAR
0.048782,0,0,143.616,0.236076,0.8,2.63,0.0209909,1,0.2082,116.8935,0.192379,F-MOUTHBAR
0.048559,0,0,201.8933,0.239876,0.8,2.63,0.0209903,1,0.2042,116.8971,0.17932,F-MOUTHBAR
0.048817,0,0,111.2266,0.234992,0.8,2.63,0.0209898,1,0.21,116.9007,0.203748,F-MOUTHBAR
0.048114,0,0,56.9076,0.228441,0.8,2.63,0.0209892,1,0.2131,116.9043,0.230262,F-MOUTHBAR
0.046529,0,0,60.5371,0.219707,0.8,2.63,0.0209887,1,0.2145,116.9078,0.219515,F-MOUTHBAR
0.047585,0,0,122.6779,0.240355,0.8,2.63,0.0209882,1,0.2005,116.9114,0.203786,F-MOUTHBAR
0.048687,0,0,159.0529,0.236627,0.8,2.63,0.0209876,1,0.208,116.915,0.187942,F-MOUTHBAR
0.05101,0,0,157.4409,0.25402,0.8,2.63,0.0209871,1,0.2026,116.9185,0.203893,F-MOUTHBAR
0.050868,0,0,66.3672,0.243364,0.8,2.63,0.0209865,1,0.211,116.9221,0.236107,F-MOUTHBAR
0.05005,0,0,62.5944,0.238571,0.8,2.63,0.020986,1,0.2116,116.9257,0.23467,F-MOUTHBAR
0.049485,0,0,101.6537,0.248456,0.8,2.63,0.0209854,1,0.2004,116.9293,0.220058,F-MOUTHBAR
0.047998,0,0,122.3885,0.237453,0.8,2.63,0.0209849,1,0.2031,116.9328,0.20132,F-MOUTHBAR
0.048139,0,0,180.1125,0.242962,0.8,2.63,0.0209844,1,0.1989,116.9364,0.187573,F-MOUTHBAR
0.047623,0,0,154.1507,0.228953,0.8,2.63,0.0209838,1,0.2092,116.94,0.182631,F-MOUTHBAR
0.048346,0,0,82.6984,0.242474,0.8,2.63,0.0209833,1,0.2007,116.9436,0.224699,F-MOUTHBAR
0.043209,0,0,12.416,0.167758,0.8,2.63,0.0209827,1,0.2599,116.9471,0.249786,F-MOUTHBAR
0.038731,1,0,0.1,0.122306,0.8,2.71,0.0209822,0,0.3224,116.9507,0.25765,F-MOUTHBAR
0.035222,1,0,0.1,0.096958,0.8,2.71,0.0209817,0,0.3763,116.9543,0.238786,F-MOUTHBAR
0.034372,1,0,0.1,0.101552,0.8,2.71,0.0209811,0,0.3526,116.9578,0.204728,F-MOUTHBAR
0.026107,1,0,0.1,0.040034,0.8,2.71,0.0209806,0,0.7029,116.9614,0.218825,F-MOUTHBAR
0.024578,1,0,0.1,0.031447,0.8,2.71,0.02098,0,0.8597,116.965,0.184165,F-MOUTHBAR
0.026196,1,0,0.1,0.03715,0.8,2.71,0.0209795,0,0.7521,116.9686,0.202573,F-MOUTHBAR
0.028971,1,0,0.1,0.052296,0.8,2.71,0.0209789,0,0.5853,116.9721,0.169592,F-MOUTHBAR
0.037175,1,0,0.1,0.134231,0.8,2.71,0.0209784,0,0.2868,116.9757,0.190117,F-MOUTHBAR
0.039694,0,0,34.7295,0.174556,0.8,2.63,0.0209779,1,0.23,116.9793,0.206194,F-MOUTHBAR
0.041472,0,0,92.7441,0.202387,0.8,2.63,0.0209773,1,0.2062,116.9829,0.183534,F-MOUTHBAR
0.043148,0,0,82.0446,0.22283,0.8,2.63,0.0209768,1,0.1948,116.9864,0.207621,F-MOUTHBAR
0.044092,0,0,44.582,0.230372,0.8,2.63,0.0209762,1,0.1927,116.99,0.243757,F-MOUTHBAR
0.044285,0,0,148.318,0.237366,0.8,2.63,0.0209757,1,0.188,116.9936,0.191971,F-MOUTHBAR
0.044647,0,0,57.7055,0.252462,0.8,2.63,0.0209752,1,0.1778,116.9972,0.250942,F-MOUTHBAR
0.045401,0,0,158.8255,0.238548,0.8,2.63,0.0209746,1,0.1913,117.0007,0.189718,F-MOUTHBAR
0.045665,0,0,23.3841,0.191781,0.8,2.63,0.0209741,1,0.2397,117.0043,0.240592,F-MOUTHBAR
0.045608,0,0,30.5297,0.167854,0.8,2.63,0.0209735,1,0.2749,117.0079,0.206456,F-MOUTHBAR
0.034446,1,0,0.1,0.063378,0.8,2.71,0.020973,0,0.5594,117.0115,0.215612,F-MOUTHBAR
0.027921,1,0,0.1,0.034145,0.8,2.71,0.0209724,0,0.8519,117.0151,0.213466,F-MOUTHBAR
0.036497,1,0,0.1,0.101826,0.8,2.71,0.0209719,0,0.3681,117.0186,0.196777,F-MOUTHBAR
0.042493,0,0,15.5685,0.176797,0.8,2.65,0.0209714,1,0.2445,117.0222,0.246903,F-MOUTHBAR
0.045626,0,0,27.3828,0.216003,0.8,2.65,0.0209708,1,0.2146,117.0258,0.254505,F-MOUTHBAR
0.047547,0,0,53.8524,0.234511,0.8,2.65,0.0209703,1,0.2059,117.0294,0.23832,F-MOUTHBAR
0.048927,0,0,64.8464,0.243264,0.8,2.65,0.0209697,1,0.204,117.0329,0.237136,F-MOUTHBAR
0.049691,0,0,82.8129,0.239447,0.8,2.65,0.0209692,1,0.2107,117.0365,0.221942,F-MOUTHBAR
0.049578,0,0,28.0854,0.216308,0.8,2.65,0.0209687,1,0.2331,117.0401,0.253553,F-MOUTHBAR
0.050778,0,0,39.1227,0.219447,0.8,2.65,0.0209681,1,0.2355,117.0437,0.24035,F-MOUTHBAR
0.051076,0,0,18.8841,0.231885,0.8,2.65,0.0209676,1,0.2242,117.0472,0.286553,F-MOUTHBAR
0.048843,0,0,56.4312,0.232933,0.8,2.65,0.020967,1,0.2135,117.0508,0.23466,F-MOUTHBAR
0.045606,0,0,40.4925,0.228666,0.8,2.65,0.0209665,1,0.2021,117.0544,0.246883,F-MOUTHBAR
0.042804,0,0,16.9502,0.220034,0.8,2.65,0.020966,1,0.1963,117.058,0.281233,F-MOUTHBAR
0.039772,0,0,10.5895,0.187157,0.8,2.65,0.0209654,1,0.2145,117.0615,0.274709,F-MOUTHBAR
0.039631,0,0,45.0649,0.19618,0.8,2.65,0.0209649,1,0.2037,117.0651,0.212845,F-MOUTHBAR
0.038943,0,0,49.9957,0.199447,0.8,2.65,0.0209643,1,0.1968,117.0687,0.210738,F-MOUTHBAR
0.038891,0,0,49.0884,0.21666,0.8,2.65,0.0209638,1,0.1802,117.0723,0.226922,F-MOUTHBAR
0.04036,0,0,66.0345,0.222536,0.8,2.65,0.0209633,1,0.1817,117.0758,0.217835,F-MOUTHBAR
0.045925,0,0,84.978,0.223033,0.8,2.65,0.0209627,1,0.207,117.0794,0.206107,F-MOUTHBAR
0.053691,0,0,24.0871,0.201668,0.8,2.65,0.0209622,1,0.2695,117.083,0.247951,F-MOUTHBAR
0.062582,0,0,15.5518,0.190315,0.8,2.65,0.0209616,1,0.3384,117.0866,0.258971,F-MOUTHBAR
0.067493,0,0,5.5667,0.169811,0.8,2.65,0.0209611,1,0.4111,117.0901,0.29032,F-MOUTHBAR
0.068905,0,0,9.7192,0.170268,0.8,2.65,0.0209605,1,0.4204,117.0937,0.263835,F-MOUTHBAR
0.063722,1,0,0.1,0.160352,0.8,2.71,0.02096,0,0.4165,117.0973,0.266922,F-MOUTHBAR
0.050273,1,0,0.1,0.103758,0.8,2.71,0.0209595,0,0.5203,117.1009,0.262883,F-MOUTHBAR
0.039327,1,0,0.1,0.07446,0.8,2.71,0.0209589,0,0.5847,117.1044,0.225272,F-MOUTHBAR
0.006551,1,0,0.1,0.006551,0.8,2.71,0.0209584,0,1,117.108,0.203476,F-MOUTHBAR
0.007847,1,0,0.1,0.007847,0.8,2.71,0.0209578,0,1,117.1116,0.18332,F-MOUTHBAR
0.001587,1,0,0.1,0.001587,0.8,2.71,0.0209573,0,1,117.1152,0.213123,F-MOUTHBAR
0,1,0,0.1,0,0.8,2.71,0.0209568,0,1,117.1188,0.232408,F-MOUTHBAR
0,1,0,0.1,0,0.8,2.71,0.0209562,0,1,117.1223,0.305854,F-MOUTHBAR
0.03892,1,0,0.1,0.074036,0.8,2.71,0.0209557,0,0.5505,117.1259,0.431019,F-MOUTHBAR
0.047263,0,0,10.5,0.148396,0.8,2.65,0.0209551,1,0.3283,117.1295,0.481922,F-MOUTHBAR
0.050034,0,0,12.1,0.183143,0.8,2.65,0.0209546,1,0.2802,117.1331,0.429981,F-MOUTHBAR
0.044527,0,0,4,0.134248,0.8,2.65,0.0209541,1,0.3462,117.1366,0.422029,F-TIDAL BAR
0.034792,1,0,0.1,0.07208,0.8,2.71,0.0209535,0,0.554,117.1402,0.360971,F-TIDAL BAR
0.026849,1,0,0.1,0.039916,0.8,2.71,0.020953,0,0.8226,117.1438,0.336641,F-TIDAL BAR
0,1,0,0.1,0,0.8,2.71,0.0209524,0,1,117.1474,0.246544,F-TIDAL BAR
0,1,0,0.1,0,0.8,2.71,0.0209519,0,1,117.1509,0.231825,F-TIDAL BAR
0.029691,1,0,0.1,0.066622,0.8,2.71,0.0209514,0,0.5027,117.1545,0.198505,F-TIDAL BAR
0.03356,1,0,0.1,0.082661,0.8,2.71,0.0209508,0,0.4268,117.1581,0.263097,F-TIDAL BAR
0.040935,0,0,6.8021,0.141884,0.8,2.65,0.0209503,1,0.2977,117.1617,0.255825,F-TIDAL BAR
0.044329,0,0,9.2218,0.175018,0.8,2.65,0.0209497,1,0.2596,117.1652,0.270592,F-TIDAL BAR
0.044484,0,0,17.8993,0.181596,0.8,2.65,0.0209492,1,0.2507,117.1688,0.244437,F-TIDAL BAR
0.044876,0,0,14.2327,0.204235,0.8,2.65,0.0209487,1,0.2258,117.1724,0.275621,F-TIDAL BAR
0.044327,0,0,26.9867,0.21685,0.8,2.65,0.0209481,1,0.2066,117.176,0.255961,F-TIDAL BAR
0.04294,0,0,21.3579,0.205429,0.8,2.65,0.0209476,1,0.2095,117.1795,0.257097,F-TIDAL BAR
