UWI,START_DATE,OIL,GAS,WATER
YP220,01-MAR-07,27155,17650,69
AB365,01-NOV-14,46382,29788,579
RK302,01-NOV-10,5929,1611,15
RK302,01-JAN-11,5650,2083,18
BR817,01-JUN-13,38790,21557,0
DS378,01-DEC-13,73620,96726,52
DS775,01-SEP-07,46268,19952,0
DS775,01-JAN-09,42565,27853,0
TF695,01-DEC-14,39809,22622,0
AB879,01-JAN-11,47765,22849,0
YP373,01-MAY-17,34641,20993,3484
TF140,01-SEP-17,33869,24972,568
YP805,01-SEP-17,42478,31307,0
AB735,01-FEB-17,31157,19426,0
RK593,01-DEC-17,37258,37182,22
RK747,01-JAN-15,0,0,0
TR701,01-JAN-15,29391,39270,78472
ON519,01-FEB-15,42380,34548,0
DS150,01-SEP-15,0,0,0
DS241,01-MAR-15,77680,73072,4564
RK104,01-JUN-15,31329,26167,2713
TR129,01-APR-15,31797,14329,10
TR701,01-JUN-15,47405,23930,66891
DS241,01-JUL-96,45480,32395,0
RK113,01-AUG-87,12718,10297,0
DS582,01-AUG-90,11361,7490,1279
ON120,01-MAR-05,24653,13711,64
CC653,01-MAY-00,5675,4942,13643
YP203,01-MAR-09,51869,48240,76
TF335,01-JUN-87,47164,42108,42
TR701,01-DEC-88,22925,11390,305
YP373,01-SEP-10,14401,47494,511
RK450,01-SEP-13,52558,44786,7856
TR382,01-JUL-87,66996,71088,0
CC782,01-MAR-76,557193,438480,0
YP220,01-MAY-93,60779,32504,0
CC482,01-SEP-85,91073,46801,84
BR772,01-JAN-97,68067,52432,181
BR601,01-MAY-03,21078,9545,188
DS698,01-MAR-03,67556,78826,0
AB119,01-MAR-08,32903,22893,561
DS416,01-JUL-01,34113,20202,16882
AB295,01-DEC-06,47003,27539,102
ON575,01-JAN-12,26413,22201,45
TR400,01-NOV-13,7118,4909,48
ON804,01-DEC-94,111432,58101,0
TR336,01-OCT-92,71672,56854,302
TF143,01-SEP-85,58156,58861,0
RK747,01-MAY-04,36813,17105,10
YP737,01-SEP-09,34475,23418,0
AB590,01-DEC-12,18195,38451,784
AB436,01-SEP-15,42222,45988,0
CC782,01-SEP-02,63692,32949,19831
ON575,01-OCT-12,39119,25555,0
DS780,01-JAN-14,43399,15640,464
AB735,01-MAR-92,111635,77667,1291
TF143,01-DEC-90,94868,72850,0
CC504,01-JUL-83,74651,75052,0
DS416,01-AUG-99,33451,28130,2639
TR418,01-JAN-09,51669,35594,496
TF611,01-SEP-11,1681,1751,5
RK128,01-FEB-14,41354,78179,35242
TF359,01-MAY-98,53266,40924,8911
ON765,01-APR-91,100632,46838,0
ON231,01-OCT-91,32053,24844,0
TR694,01-JUN-06,25604,16900,1129
CC872,01-JAN-09,35472,41906,0
TR376,01-APR-08,46342,14371,0
TF177,01-JUL-12,47276,21160,46
TF143,01-OCT-83,414729,323355,1252
CC310,01-AUG-96,47195,29633,15788
TR387,01-AUG-89,48872,27530,115
TF149,01-FEB-88,1325,1038,0
TR387,01-MAY-99,41293,24901,0
TF359,01-DEC-92,30320,19145,1047
BR254,01-NOV-02,10921,7516,0
TF407,01-APR-05,29958,26985,640
RK539,01-JUL-04,66170,41929,6231
YP785,01-JUL-02,503,239,0
DS780,01-MAR-04,34697,13152,174
TF222,01-FEB-13,7702,12652,2333
CC482,01-OCT-88,20909,14959,0
DS698,01-MAR-77,118979,92660,0
ON397,01-APR-04,22883,11933,1056
DS150,01-NOV-08,31059,23032,6027
ON417,01-NOV-14,21739,17971,17479
YP471,01-DEC-17,30721,21179,0
TF611,01-JUN-98,50835,31144,0
CC872,01-JUL-95,76037,57893,0
AB494,01-OCT-83,279853,201690,2749
RK153,01-JUL-98,22005,19933,0
TR455,01-SEP-02,51832,23221,996
CC627,01-DEC-02,37486,23067,543
TF277,01-NOV-04,55440,13642,92
AB323,01-FEB-07,27538,9354,0
RK301,01-DEC-01,20676,24593,0
ON727,01-MAR-14,19801,35142,12364
ON575,01-AUG-88,106792,63906,0
CC310,01-JUN-00,1961,1656,898
TR235,01-JUN-00,109657,88124,312
YP467,01-JAN-00,40848,23352,0
AB344,01-JUN-11,16037,9488,9017
BR836,01-APR-15,36916,18589,4005
AB460,01-OCT-99,32165,25588,136
YP220,01-FEB-89,57923,26674,0
YP655,01-JAN-04,48290,26230,19
AB517,01-APR-09,87912,51259,736
CC504,01-JUL-00,36970,23867,0
DS773,01-JAN-14,72636,72466,38
CC627,01-MAR-14,39073,23532,1283
ON231,01-JAN-98,65391,57413,591
ON231,01-JUL-13,6531,5511,3849
TR400,01-MAR-13,41392,27978,1871
CC653,01-FEB-17,0,0,0
TF277,01-OCT-15,41297,30054,1358
ON180,01-DEC-15,42782,30177,0
RK301,01-JUL-99,60467,51019,0
TR336,01-JUL-91,160408,83020,0
AB388,01-OCT-98,63026,54799,6019
CC636,01-MAY-88,17666,13364,156
TF267,01-DEC-76,539336,468440,0
TR336,01-OCT-00,38865,31180,1810
TR382,01-JUL-00,109009,119134,122
TR753,01-APR-14,36862,21380,2032
RK345,01-JAN-76,511090,312000,0
